Ano;Nro Mês;Mês;Nro Bimestre;Bimestre;Nro Trimestre;Trimestre;Nro Quadrimestre;Quadrimestre;Nro Semestre;Semestre;Código Poder;Poder;Código Órgão;Órgão;Código Unidade Gestora;Unidade Gestora;Código Gestão;Gestão;Código Tipo Entidade;Tipo Entidade;Código Função;Função;Código Subfunção;Subfunção;Código Programa;Programa;Código Ação;Ação;Código Subação;Subação;Código Identificador Uso;Identificador Uso;Código Fonte Recurso;Fonte Recurso;Código Grupo Fonte Recurso;Grupo Fonte Recurso;Código Especificação Fonte;Especificação Fonte;Código Tipo Fonte;Tipo Fonte;Código Categoria Econômica;Categoria Econômica;Código Grupo Natureza Despesa;Grupo Natureza Despesa;Código Modalidade Aplicação;Modalidade Aplicação;Código Elemento;Elemento;Código Subelemento;Subelemento;Código Credor;Credor;Indicador Despesa Emergencial;Descrição Indicador Despesa Emergencial;Vl Dotação Inicial;Vl Dotação Atualizada;Vl Empenhado;Vl Liquidado;Vl Pago Orçamentário
2020;9;Setembro ;5;5º Bimestre;3;3º Trimestre;3;3º Quadrimestre;2;2º Semestre;1;Executivo                                         ;45000;Secretaria de Estado da Educação                                                                                                                      ;450001;Secretaria de Estado da Educação                                                                                                                      ;1;Gestão Geral                                                                                                                                          ;1;Administração Direta                                                                      ;12;Educação                                                                                                                                              ;368;Educação Básica                                                                                                                                       ;610;Educação Básica com Qualidade e Equidade                                                                                                              ;105;Alimentação escolar                                                                                                                                   ;10206;"2010: Terceirização da Merenda Escolar; 2011: Terceirização da merenda escolar; 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020: Alimentação esco";0;Recursos não destinados a contrapartida                                                                                                               ;324000016;PNAE - Programa NAcional de Alimentação Escolar - Exercícios Anteriores                                                                               ;3;Recursos Ordinarios - Recursos do Tesouro - Exercícios Anteriores                                                                                     ;24;Outros Serviços - Recursos do Tesouro - Exercício Corrente                                                                                            ;1;Fonte Tesouro                                                                                                                                         ;3;Despesas Correntes                                                                                                                                    ;33;Outras Despesas Correntes                                                                                                                             ;90;Aplicações Diretas                                                                                                                                    ;30;Material de Consumo                                                                                                                                   ;33903007;Gêneros de Alimentação                                                                                                                                ;415045;AAAB COMERCIO DE ALIMENTOS LTDA                                                                                                                                                                                                                                ;0;Enfrentamento do COVID-19;0;0;0;24.100,35;24.100,35
2020;9;Setembro ;5;5º Bimestre;3;3º Trimestre;3;3º Quadrimestre;2;2º Semestre;1;Executivo                                         ;48000;Secretaria de Estado da Saúde                                                                                                                         ;480091;Fundo Estadual de Saúde                                                                                                                               ;48091;Fundo Estadual de Saúde                                                                                                                               ;6;Fundos Especiais                                                                          ;10;Saúde                                                                                                                                                 ;302;Assistência Hospitalar e Ambulatorial                                                                                                                 ;410;Vigilância em Saúde                                                                                                                                   ;641;"2010: Apoio a Projetos de Desenvolvimento Rural; 2011: Apoio a projetos de desenvolvimento rural; 2012, 2013, 2014, 2015: Estruturação e organização d";11254;"2012, 2013, 2014, 2015: Manutenção das ações de gestão do LACEN; 2016: Realizar as ações de gestão do LACEN; 2017, 2018, 2019, 2020: Realização de exa";0;Recursos não destinados a contrapartida                                                                                                               ;623000057;Finlacen - Convênio Sistema ùnico de Saúde - SUS  Exercícios Anteriores                                                                               ;6;Taxas da Seguranca Publica e Defesa do Cidadão - Rec.Outras Fontes-Exercícios Anteriores                                                              ;23;Outras Transferencias - Recursos do Tesouro - Exercício Corrente                                                                                      ;3;Outras Fontes                                                                                                                                         ;3;Despesas Correntes                                                                                                                                    ;33;Outras Despesas Correntes                                                                                                                             ;90;Aplicações Diretas                                                                                                                                    ;30;Material de Consumo                                                                                                                                   ;33903035;Material Laboratorial                                                                                                                                 ;447069;A CASA DO LABORATORIO LTDA                                                                                                                                                                                                                                     ;0;Enfrentamento do COVID-19;0;0;0;0;2.685,00
2020;9;Setembro ;5;5º Bimestre;3;3º Trimestre;3;3º Quadrimestre;2;2º Semestre;1;Executivo                                         ;48000;Secretaria de Estado da Saúde                                                                                                                         ;480091;Fundo Estadual de Saúde                                                                                                                               ;48091;Fundo Estadual de Saúde                                                                                                                               ;6;Fundos Especiais                                                                          ;10;Saúde                                                                                                                                                 ;122;Administração Geral                                                                                                                                   ;430;Atenção de Média e Alta Complexidade Ambulatorial e Hospitalar                                                                                        ;1113;"2012, 2013, 2014, 2015: Complexo Intermodal  Catarinense; 2020: Enfrentamento da pandemia                                                             ";15037;Enfrentamento da Pandemia COVID19                                                                                                                     ;0;Recursos não destinados a contrapartida                                                                                                               ;100000000;Recursos ordinários - recursos do tesouro - RLD                                                                                                       ;1;Recursos Ordinarios - Recursos do Tesouro - Exercício Corrente                                                                                        ;0;Recursos Ordinarios - Recursos do Tesouro - Exercício Corrente                                                                                        ;1;Fonte Tesouro                                                                                                                                         ;3;Despesas Correntes                                                                                                                                    ;33;Outras Despesas Correntes                                                                                                                             ;90;Aplicações Diretas                                                                                                                                    ;39;Outros Serviços Terceiros - Pessoa Jurídica                                                                                                           ;33903950;Serv. Médico-Hospitalar,Odont. e Laboratorial                                                                                                         ;253631;TR SAO JOSE - CLINICA DE HEMODIALISE LTDA                                                                                                                                                                                                                      ;0;Enfrentamento do COVID-19;0;0;494.832,00;0;0
2020;9;Setembro ;5;5º Bimestre;3;3º Trimestre;3;3º Quadrimestre;2;2º Semestre;1;Executivo                                         ;48000;Secretaria de Estado da Saúde                                                                                                                         ;480091;Fundo Estadual de Saúde                                                                                                                               ;48091;Fundo Estadual de Saúde                                                                                                                               ;6;Fundos Especiais                                                                          ;10;Saúde                                                                                                                                                 ;122;Administração Geral                                                                                                                                   ;430;Atenção de Média e Alta Complexidade Ambulatorial e Hospitalar                                                                                        ;1113;"2012, 2013, 2014, 2015: Complexo Intermodal  Catarinense; 2020: Enfrentamento da pandemia                                                             ";15037;Enfrentamento da Pandemia COVID19                                                                                                                     ;0;Recursos não destinados a contrapartida                                                                                                               ;100000000;Recursos ordinários - recursos do tesouro - RLD                                                                                                       ;1;Recursos Ordinarios - Recursos do Tesouro - Exercício Corrente                                                                                        ;0;Recursos Ordinarios - Recursos do Tesouro - Exercício Corrente                                                                                        ;1;Fonte Tesouro                                                                                                                                         ;3;Despesas Correntes                                                                                                                                    ;33;Outras Despesas Correntes                                                                                                                             ;90;Aplicações Diretas                                                                                                                                    ;39;Outros Serviços Terceiros - Pessoa Jurídica                                                                                                           ;33903950;Serv. Médico-Hospitalar,Odont. e Laboratorial                                                                                                         ;25118;ASSOCIACAO EDUCACIONAL E CARITATIVA                                                                                                                                                                                                                            ;0;Enfrentamento do COVID-19;0;0;1.900.000,00;380.000,00;380.000,00
2020;9;Setembro ;5;5º Bimestre;3;3º Trimestre;3;3º Quadrimestre;2;2º Semestre;1;Executivo                                         ;48000;Secretaria de Estado da Saúde                                                                                                                         ;480091;Fundo Estadual de Saúde                                                                                                                               ;48091;Fundo Estadual de Saúde                                                                                                                               ;6;Fundos Especiais                                                                          ;10;Saúde                                                                                                                                                 ;302;Assistência Hospitalar e Ambulatorial                                                                                                                 ;430;Atenção de Média e Alta Complexidade Ambulatorial e Hospitalar                                                                                        ;305;Realização de procedimentos                                                                                                                           ;11320;"2012, 2013, 2014, 2015, 2016: Assistência ambulatorial e hospitalar de média e alta complexidade contemplada na PPI; 2017, 2018, 2019: Realização de p";0;Recursos não destinados a contrapartida                                                                                                               ;223000101;Enfrentamento Corona Vírus                                                                                                                            ;2;Convenio - Sistema Único Saúde - Recursos de Outras Fontes - Exercício Corrente                                                                       ;23;Outras Transferencias - Recursos do Tesouro - Exercício Corrente                                                                                      ;3;Outras Fontes                                                                                                                                         ;3;Despesas Correntes                                                                                                                                    ;33;Outras Despesas Correntes                                                                                                                             ;90;Aplicações Diretas                                                                                                                                    ;39;Outros Serviços Terceiros - Pessoa Jurídica                                                                                                           ;33903950;Serv. Médico-Hospitalar,Odont. e Laboratorial                                                                                                         ;25118;ASSOCIACAO EDUCACIONAL E CARITATIVA                                                                                                                                                                                                                            ;0;Enfrentamento do COVID-19;0;0;1.344.000,00;1.446.681,63;1.446.681,63
2020;9;Setembro ;5;5º Bimestre;3;3º Trimestre;3;3º Quadrimestre;2;2º Semestre;1;Executivo                                         ;48000;Secretaria de Estado da Saúde                                                                                                                         ;480091;Fundo Estadual de Saúde                                                                                                                               ;48091;Fundo Estadual de Saúde                                                                                                                               ;6;Fundos Especiais                                                                          ;10;Saúde                                                                                                                                                 ;302;Assistência Hospitalar e Ambulatorial                                                                                                                 ;430;Atenção de Média e Alta Complexidade Ambulatorial e Hospitalar                                                                                        ;220;Realização de convênios                                                                                                                               ;11328;"2012, 2013, 2014, 2015, 2016: Adequação e aquisição de equipamentos para a atenção a média e alta complexidade; 2017, 2018, 2019, 2020: Realização de ";0;Recursos não destinados a contrapartida                                                                                                               ;100000000;Recursos ordinários - recursos do tesouro - RLD                                                                                                       ;1;Recursos Ordinarios - Recursos do Tesouro - Exercício Corrente                                                                                        ;0;Recursos Ordinarios - Recursos do Tesouro - Exercício Corrente                                                                                        ;1;Fonte Tesouro                                                                                                                                         ;3;Despesas Correntes                                                                                                                                    ;33;Outras Despesas Correntes                                                                                                                             ;50;Transf. a Inst. Priv. s/ Fins Lucrativos                                                                                                              ;41;Contribuições                                                                                                                                         ;33504102;Despesa com Entidades de Direito Privado                                                                                                              ;429456;ASSOCIACAO CONGREGACAO DESANTA CATARINA                                                                                                                                                                                                                        ;0;Enfrentamento do COVID-19;0;0;0;250.000,00;250.000,00
2020;9;Setembro ;5;5º Bimestre;3;3º Trimestre;3;3º Quadrimestre;2;2º Semestre;1;Executivo                                         ;48000;Secretaria de Estado da Saúde                                                                                                                         ;480091;Fundo Estadual de Saúde                                                                                                                               ;48091;Fundo Estadual de Saúde                                                                                                                               ;6;Fundos Especiais                                                                          ;10;Saúde                                                                                                                                                 ;302;Assistência Hospitalar e Ambulatorial                                                                                                                 ;430;Atenção de Média e Alta Complexidade Ambulatorial e Hospitalar                                                                                        ;305;Realização de procedimentos                                                                                                                           ;11320;"2012, 2013, 2014, 2015, 2016: Assistência ambulatorial e hospitalar de média e alta complexidade contemplada na PPI; 2017, 2018, 2019: Realização de p";0;Recursos não destinados a contrapartida                                                                                                               ;223000101;Enfrentamento Corona Vírus                                                                                                                            ;2;Convenio - Sistema Único Saúde - Recursos de Outras Fontes - Exercício Corrente                                                                       ;23;Outras Transferencias - Recursos do Tesouro - Exercício Corrente                                                                                      ;3;Outras Fontes                                                                                                                                         ;3;Despesas Correntes                                                                                                                                    ;33;Outras Despesas Correntes                                                                                                                             ;90;Aplicações Diretas                                                                                                                                    ;39;Outros Serviços Terceiros - Pessoa Jurídica                                                                                                           ;33903950;Serv. Médico-Hospitalar,Odont. e Laboratorial                                                                                                         ;434750;ASSOCIACAO CONGREGACAO DESANTA CATARINA                                                                                                                                                                                                                        ;0;Enfrentamento do COVID-19;0;0;480.000,00;557.849,49;557.849,49
2020;9;Setembro ;5;5º Bimestre;3;3º Trimestre;3;3º Quadrimestre;2;2º Semestre;1;Executivo                                         ;48000;Secretaria de Estado da Saúde                                                                                                                         ;480091;Fundo Estadual de Saúde                                                                                                                               ;48091;Fundo Estadual de Saúde                                                                                                                               ;6;Fundos Especiais                                                                          ;10;Saúde                                                                                                                                                 ;122;Administração Geral                                                                                                                                   ;430;Atenção de Média e Alta Complexidade Ambulatorial e Hospitalar                                                                                        ;1113;"2012, 2013, 2014, 2015: Complexo Intermodal  Catarinense; 2020: Enfrentamento da pandemia                                                             ";15037;Enfrentamento da Pandemia COVID19                                                                                                                     ;0;Recursos não destinados a contrapartida                                                                                                               ;100000000;Recursos ordinários - recursos do tesouro - RLD                                                                                                       ;1;Recursos Ordinarios - Recursos do Tesouro - Exercício Corrente                                                                                        ;0;Recursos Ordinarios - Recursos do Tesouro - Exercício Corrente                                                                                        ;1;Fonte Tesouro                                                                                                                                         ;3;Despesas Correntes                                                                                                                                    ;33;Outras Despesas Correntes                                                                                                                             ;90;Aplicações Diretas                                                                                                                                    ;39;Outros Serviços Terceiros - Pessoa Jurídica                                                                                                           ;33903950;Serv. Médico-Hospitalar,Odont. e Laboratorial                                                                                                         ;434750;ASSOCIACAO CONGREGACAO DESANTA CATARINA                                                                                                                                                                                                                        ;0;Enfrentamento do COVID-19;0;0;3.800.000,00;760.000,00;760.000,00
2020;9;Setembro ;5;5º Bimestre;3;3º Trimestre;3;3º Quadrimestre;2;2º Semestre;1;Executivo                                         ;48000;Secretaria de Estado da Saúde                                                                                                                         ;480091;Fundo Estadual de Saúde                                                                                                                               ;48091;Fundo Estadual de Saúde                                                                                                                               ;6;Fundos Especiais                                                                          ;10;Saúde                                                                                                                                                 ;122;Administração Geral                                                                                                                                   ;430;Atenção de Média e Alta Complexidade Ambulatorial e Hospitalar                                                                                        ;1113;"2012, 2013, 2014, 2015: Complexo Intermodal  Catarinense; 2020: Enfrentamento da pandemia                                                             ";15037;Enfrentamento da Pandemia COVID19                                                                                                                     ;0;Recursos não destinados a contrapartida                                                                                                               ;100000000;Recursos ordinários - recursos do tesouro - RLD                                                                                                       ;1;Recursos Ordinarios - Recursos do Tesouro - Exercício Corrente                                                                                        ;0;Recursos Ordinarios - Recursos do Tesouro - Exercício Corrente                                                                                        ;1;Fonte Tesouro                                                                                                                                         ;3;Despesas Correntes                                                                                                                                    ;33;Outras Despesas Correntes                                                                                                                             ;90;Aplicações Diretas                                                                                                                                    ;39;Outros Serviços Terceiros - Pessoa Jurídica                                                                                                           ;33903950;Serv. Médico-Hospitalar,Odont. e Laboratorial                                                                                                         ;74224;ASSOCIACAO FRANCO BRASILEIRA                                                                                                                                                                                                                                   ;0;Enfrentamento do COVID-19;0;0;2.950.000,00;590.000,00;590.000,00
2020;9;Setembro ;5;5º Bimestre;3;3º Trimestre;3;3º Quadrimestre;2;2º Semestre;1;Executivo                                         ;48000;Secretaria de Estado da Saúde                                                                                                                         ;480091;Fundo Estadual de Saúde                                                                                                                               ;48091;Fundo Estadual de Saúde                                                                                                                               ;6;Fundos Especiais                                                                          ;10;Saúde                                                                                                                                                 ;302;Assistência Hospitalar e Ambulatorial                                                                                                                 ;430;Atenção de Média e Alta Complexidade Ambulatorial e Hospitalar                                                                                        ;305;Realização de procedimentos                                                                                                                           ;11320;"2012, 2013, 2014, 2015, 2016: Assistência ambulatorial e hospitalar de média e alta complexidade contemplada na PPI; 2017, 2018, 2019: Realização de p";0;Recursos não destinados a contrapartida                                                                                                               ;223000101;Enfrentamento Corona Vírus                                                                                                                            ;2;Convenio - Sistema Único Saúde - Recursos de Outras Fontes - Exercício Corrente                                                                       ;23;Outras Transferencias - Recursos do Tesouro - Exercício Corrente                                                                                      ;3;Outras Fontes                                                                                                                                         ;3;Despesas Correntes                                                                                                                                    ;33;Outras Despesas Correntes                                                                                                                             ;90;Aplicações Diretas                                                                                                                                    ;39;Outros Serviços Terceiros - Pessoa Jurídica                                                                                                           ;33903950;Serv. Médico-Hospitalar,Odont. e Laboratorial                                                                                                         ;74224;ASSOCIACAO FRANCO BRASILEIRA                                                                                                                                                                                                                                   ;0;Enfrentamento do COVID-19;0;0;480.000,00;519.426,39;39.426,39
